   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
          0.00014966,            0.019231,          8.7898e-05,          1.5636e-05,             0.11301,             0.12471,            0.037488,             0.01044,             0.01386,             0.94043,             0.00047,              3.0641,             0.94618,             0.11089,             0.05211,             0.39228,              0.8868,              1.2702,              1.0115,                 0.2,              3.8215,                   0,             0.01225,             0.77339,             0.36312,                   0,             0.09111,             0.44112,                   0,                   0,                   0,                 0.5,             0.94285,                   0,                   0,              4.8349
          0.00013687,            0.019231,          8.1927e-05,          1.4524e-05,             0.14168,            0.082186,            0.037897,             0.00775,             0.01303,             0.95005,             0.00048,              3.0954,             0.85896,             0.08736,             0.06488,             0.40091,             0.87436,              1.0386,             0.79095,                 0.2,              4.5225,                   0,             0.01551,             0.75165,             0.42895,                   0,             0.09733,             0.36519,                   0,                   0,                   0,                 0.5,             0.74588,                   0,                   0,              5.0958
          0.00076464,             0.10458,          0.00089967,          0.00028267,              0.1111,             0.13392,            0.052685,             0.00705,             0.01478,             0.96088,              0.0005,              3.2544,                0.95,              0.0876,             0.05105,             0.49513,              1.0164,              1.1901,              1.1819,                 0.2,              4.1972,                   0,             0.01336,             0.75254,             0.36894,                   0,             0.08291,             0.38398,                   0,                   0,                   0,                 0.5,             0.76744,                   0,                   0,              3.8257
          0.00088141,             0.10784,          0.00080049,          0.00025914,             0.11892,            0.090515,            0.043725,             0.00803,             0.01246,             0.96013,             0.00051,              3.0469,             0.87674,             0.10474,             0.05462,             0.45797,             0.88579,              1.0386,             0.88489,                 0.2,              4.1895,                   0,             0.01405,             0.75501,             0.38386,                   0,             0.09308,             0.42056,                   0,                   0,                   0,                 0.5,             0.81041,                   0,                   0,              4.1836
          0.00013591,            0.019231,          7.9012e-05,          1.4245e-05,             0.11097,             0.12972,            0.062932,             0.00705,             0.01306,                0.98,             0.00052,              2.8945,                0.95,             0.08923,             0.05105,             0.53701,              1.1447,               1.111,              1.2305,                 0.2,              4.0417,                   0,             0.01323,             0.62957,             0.44566,                   0,             0.08291,             0.38398,                   0,                   0,                   0,                 0.5,             0.80983,                   0,                   0,              4.7474
                   0,                   0,                   0,                   0,             0.12185,              0.1279,            0.067889,             0.00699,             0.01469,                0.98,             0.00048,               4.022,             0.82313,             0.08066,             0.05495,             0.66202,             0.97166,              1.1901,              1.1819,                 0.2,              4.1972,                   0,             0.01324,             0.79133,             0.28136,                   0,              0.0909,             0.36778,                   0,                   0,                   0,                 0.5,             0.92015,                   0,                   0,                   2
          0.00075415,             0.10458,          0.00074679,          0.00024028,             0.11336,             0.14826,            0.052275,             0.00736,             0.01495,             0.97427,             0.00052,              3.0502,             0.91949,             0.09317,             0.05204,             0.49513,              1.0066,              1.1901,              1.3222,                 0.2,                4.32,                   0,             0.01266,              0.6752,             0.37726,                   0,              0.0803,             0.38057,                   0,                   0,                   0,                 0.5,             0.76744,                   0,                   0,              4.1494
           0.0001414,            0.019231,          8.0601e-05,          1.4396e-05,              0.1053,             0.11083,            0.042896,             0.00705,             0.01521,              0.9657,             0.00052,              3.0752,             0.92741,              0.0807,             0.04798,             0.40257,              1.0177,             0.98447,              1.1819,                 0.2,               5.089,                   0,             0.01336,             0.73409,             0.39422,                   0,              0.0845,             0.38719,                   0,                   0,                   0,                 0.5,             0.80349,                   0,                   0,              4.9371
                   0,                   0,                   0,                   0,             0.10823,             0.11017,            0.032085,             0.00705,             0.01478,                0.98,             0.00052,              2.9165,             0.59628,             0.08339,             0.04967,             0.39023,             0.72745,              1.0085,               1.151,                 0.2,              3.9552,                   0,             0.01393,             0.75254,             0.29018,                   0,             0.08608,             0.26465,                   0,                   0,                   0,                 0.5,             0.93838,                   0,                   0,              4.2232
                   0,                   0,                   0,                   0,             0.15406,             0.11248,            0.030188,             0.00822,              0.0116,             0.94617,             0.00035,              3.2544,                0.95,              0.0829,              0.0732,             0.28084,              1.0289,              1.1901,             0.98173,                 0.2,              2.8784,                   0,             0.01088,             0.82087,              0.3153,                   0,             0.08291,             0.48879,                   0,                   0,                   0,                 0.5,             0.76744,                   0,                   0,              3.8658
          0.00070979,             0.10458,          0.00083213,          0.00026012,             0.10657,             0.14377,            0.053952,             0.00644,             0.01502,             0.97209,             0.00052,              3.1314,                0.95,             0.09116,             0.04907,             0.51766,             0.99025,              1.2798,              1.1797,                 0.2,              3.9539,                   0,             0.01287,              0.7827,             0.34286,                   0,              0.0803,             0.38398,                   0,                   0,                   0,                 0.5,             0.82215,                   0,                   0,              3.9739
          0.00079851,             0.11765,          0.00078111,          0.00016727,            0.096783,             0.11362,            0.052091,             0.00714,             0.01403,             0.96126,              0.0005,              3.0687,                0.95,             0.08748,             0.04367,             0.50226,             0.98412,              1.0581,              1.1819,                 0.2,              4.5186,                   0,             0.01297,             0.73876,             0.36434,                   0,             0.08603,             0.40482,                   0,                   0,                   0,                 0.5,             0.75661,                   0,                   0,               3.492
          0.00016181,            0.019231,          9.4972e-05,          1.6896e-05,             0.10827,             0.13392,            0.053885,             0.00749,             0.01239,             0.96088,              0.0005,              3.0745,                0.95,             0.07701,             0.04975,             0.48625,              1.0686,              1.1901,              1.1819,                 0.2,              4.1888,                   0,             0.01189,             0.75254,              0.3769,                   0,             0.08291,             0.38398,                   0,                   0,                   0,                 0.5,             0.70639,                   0,                   0,              5.4555
          0.00077633,             0.11438,          0.00068136,          0.00014971,             0.11023,             0.10985,            0.064412,             0.00666,             0.01355,             0.96268,             0.00061,               2.945,                0.95,             0.09694,             0.05014,             0.53829,              1.1746,              1.2032,             0.98533,                 0.2,              3.7359,                   0,             0.01457,             0.68633,             0.36779,                   0,             0.05266,             0.38398,                   0,                   0,                   0,                 0.5,             0.76744,                   0,                   0,              3.3248
          0.00070979,             0.10458,          0.00075401,           0.0002378,             0.11906,             0.13964,            0.058406,             0.00752,             0.01534,             0.97085,             0.00049,              3.3162,                0.95,             0.07846,             0.05477,             0.54771,              1.0192,              1.2343,              1.1868,                 0.2,              4.1685,                   0,             0.01474,             0.77813,             0.36894,                   0,              0.0801,             0.39542,                   0,                   0,                   0,                 0.5,             0.79382,                   0,                   0,              4.1221
